CalBP,Z_GISP2_Temp_C,Z_PANGAEA_pollen_AP [%],Z_PANGAEA_pollen_AP-Pinus [%],Z_PANGAEA_pollen_Algae [%],Z_PANGAEA_pollen_Helophyte [%],Z_PANGAEA_pollen_Herbs [%],Z_PANGAEA_pollen_NAP [%],Z_PANGAEA_pollen_Poaceae+Cyperaceae [,Z_PANGAEA_pollen_Pollen aquat [%],Z_PANGAEA_pollen_Pollen mediterr [%],Z_PANGAEA_pollen_Pollen montane [%],Z_PANGAEA_pollen_Pollen pioneer [%],Z_PANGAEA_pollen_Pollen steppic [%],Z_PANGAEA_pollen_Pollen te [%],Z_PANGAEA_pollen_Shrubs [%],Z_PANGAEA_pollen_Spores [%],CCSI
8070,-0.3133874048613664,-1.3531400196892935,-1.441974701078673,-0.46568003434720545,0.5656832719272028,1.0405069865376655,1.353140019689289,1.596348864508319,0.1280348374567337,0.27640322075315876,1.06471996898977,0.5229309310038562,1.173838543822684,-1.9156267302884455,0.6240091780734714,2.4416254193403324,-1.4089685335512825
8080,-0.4312362154536931,-1.6327562962281246,-1.7533968540720983,-0.46961587519434517,0.7460997235982741,1.282889604025484,1.6327562962281224,1.865310689595618,0.4182108810617606,-0.12571786845200109,1.3357352497920671,0.6834701826089713,1.4964064378604593,-2.0235167002136305,0.5838424984704981,2.7651939817262856,-1.7094093352129962
8090,-0.5523183196438961,-1.9053605964494014,-2.058889376516311,-0.4726663248142061,0.9299324666488301,1.516346670126779,1.905360596449403,2.1031708645670344,0.7367367928355749,-0.5277278678898576,1.609048241185459,0.830892886196757,1.8280590764713107,-2.1247027391733213,0.5850806791821586,3.01727078401216,-1.9992729127544993
8100,-0.6782906610064388,-2.164624286723131,-2.3491822952738373,-0.47482400915317013,1.1147001886485262,1.7352138603697556,2.1646242867231282,2.302136803014379,1.0663787396177749,-0.914810310103518,1.8788100054115835,0.9505661286437462,2.158184150005628,-2.217251252623454,0.6284794118592665,3.1854477383259843,-2.269986787999504
8110,-0.810489597722999,-2.4049189702365346,-2.6156643367257906,-0.4759319274334217,1.297594179991512,1.9352503664636749,2.4049189702365337,2.457840272620164,1.3852719522244903,-1.2734744124267685,2.1385657114394183,1.0301482557348833,2.475185517755916,-2.2990916699183184,0.7078727884094741,3.266848446474277,-2.514140558368577
8120,-0.94966947089665,-2.6209485157346943,-2.8504117787697245,-0.4757013266804823,1.4752426602650863,2.113213496585683,2.620948515734695,2.568850973853604,1.6696958800790571,-1.5918868341303223,2.3810223364346763,1.0614931322050145,2.766927198742273,-2.3679756905461464,0.8104899718373555,3.2682968634492764,-2.7255728297095043
8130,-1.0957895160055997,-2.807315349807426,-3.046125183041292,-0.4737153794547343,1.6435251984888206,2.2662496596152266,2.8073153498074244,2.6358842490181815,1.897600764688216,-1.8601628041745635,2.5980165752376414,1.0418985591812178,3.021272822567673,-2.4213452937643734,0.9187033424516395,3.204652569313057,-2.8992788704131374
8140,-1.2478693933331229,-2.9582552414423877,-3.1961346373015407,-0.4694342093403714,1.7975065347456483,2.391352922825339,2.958255241442387,2.6609863875595083,2.052150268856272,-2.0706773472663436,2.7808245714190294,0.9742969003316322,3.226782836852018,-2.456216723887257,1.0129420920421544,3.0956749983603764,-3.0312531391013247
8150,-1.4039298460146163,-3.0677184464185765,-3.2945948214142526,-0.4622153610238961,1.9315386942579051,2.4850978020495478,3.0677184464185756,2.6469222637327725,2.12446866358675,-2.2183961896386237,2.920843125428891,0.866286557427073,3.373585196271467,-2.4691975286609695,1.0751541013111108,2.9621503071578386,-3.118376360570044
8160,-1.5610341065977746,-3.129849710255351,-3.3368979653298156,-0.4513591291644563,2.03955408482849,2.5437430179053964,3.12984971025535,2.596862421645031,2.1149376370050956,-2.3011639203408536,3.0105279204335678,0.7282655107877251,3.4543432723720198,-2.4567100691072823,1.0919992591156087,2.822186990575789,-3.1584151656229085
